input	output
from the three different spots, the ca and si are predominant indicating the existing of calcium silicate hydrate ( c - s - h ). the microstructure of specimens cast in lake water ( figure 9a ) showed micro - crack and it is believed to be due to sample preparation for fesem.	positive
conclusionsthe use of concrete for underwater placement is a significant challenge due to washout effect as well as the presence of various ions in the water which can influence the properties of concrete.	positive
children are especially vulnerable to different inorganic elements since their detoxification mechanisms are not fully developed and their organs are in formation [ 4 ].	positive
results and discussionthe descriptive statistics of the heavy metal and trace element levels found in the breast milk samples are shown in table 3.	positive
relationship between levels of inorganic pollutants and characteristics of mothersthe relationships between the heavy metals and trace elements studied and the most significant characteristics of mothers are shown in table 4. the highest levels of aluminum, nickel, selenium, arsenic, lead, zinc and mercury in breast milk were found in women residing in the industrial and mining zone, which may be due to the fact that the study area is strongly affected by these anthropogenic activities, which make it the zone containing the most severely metal - contaminated sediments in the mediterranean area [ 66, 67 ].	positive
maternal diet and habitsthe relationships between the heavy metals and trace elements studied and the most significant diet and habits of mothers are shown in table 4.	positive
the mann - whitney u - test showed that lead and manganese levels are significantly higher in non - vegetarian women. despite the fact that fish intake is considered the main source of mercury of non - labor origin, we did not find significant differences in the levels of mercury in the milk of women with high consumption of fish in general, shellfish or tuna ( p = 0. 539 ).	positive
arsenic concentration showed a significant negative correlation with birth weight in our study ( rs = −0. 392 ; p = 0. 005 ).	negative
cadmium and copper levels were higher in the milk of mothers of children with lower current weight ; in turn, arsenic levels were higher in the milk of women with children of a lower birth weight, which would confirm that exposure to high concentrations of certain toxic substances is associated with low infant weight. diet significantly influences the levels of certain elements in breast milk — for example, the amount of water consumed by the mother was associated with higher concentrations of aluminum and lead ; vegetarian diets were associated with higher levels of lead, arsenic, cadmium and manganese ; and high consumption of fruit was associated with an increase in copper concentrations.	positive
we will also compare the significance of different eeg channel subsets for emotion recognition and present the relevance of different subsets of eeg channels to emotion recognition. 2.	negative
it has 3 - by - 3 kernels throughout its convolutional path, except for the very first convolutional layer ( conv 0 ) which has 7 - by - 7 kernels. the color coding of figure 3 denotes the major convolutional blocks of the resnet.	negative
comparing the rudimentary eeg signal sampling point by sampling point across the channels may have considerably taken into account the undesired meaningless voltage variations, resulting in lower classification accuracy in the resnet18 - 1d - ( s - t - alternate ) model. we have also constructed and examined another variant of the resnet18 - 1d - ( s - then - t ) model with its several initial convolutional layers all being spatial - dimension convolution followed by temporal convolution only.	positive
electrode distance to the midlinewith reference to figures 5 ( a ) and 5 ( b ), the relevance of different subsets of eeg channels for emotion recognition is investigated, with respect to the channels ' distance from the midline. the trend of classification accuracy as reported in figure 5 follows that the more laterally placed the eeg channels are, the higher the classification accuracy they deliver.	positive
using the seed dataset, our best performing model [ resnet18 - 1d - ( t - then - s ) ] has achieved a 3 - class emotion classification accuracy of 93. 42 %. not of less importance, the batch normalization function proves to be essential in tackling the problem of internal covariate shift which can result in model optimization convergence failure. investigating the eeg channel significance for emotion recognition from the neurological aspects, the laterally placed channels around the temporal lobe show greater importance than the channels placed over other brain regions.	positive
by bw, the simple linear regression similarly showed a strong relationship between the de and me for hanwoo above and below 350 kg bw : me = 0. 9833 × de − 0. 2760 ( r2 = 0. 991, rmse = 0. 055, p < 0. 001 for the intercept and slope ) and me = 0. 72975 × de + 0. 38744 ( r2 = 0. 913, rmse = 0. 100, p < 0. 001 for the intercept and slope ), respectively.	positive
